Layer name,WBUF access,IBUF access,OBUF access,BBUF access,VMEM access,IMM access,InsMem access,DRAM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
Convolution,7225344.0,451584.0,2364544.0,6272.0,0,0,0,1152.0,82944.0,25088.0,6272.0,1.0,115457.0,14591123,1330.0,0,0,14592453.0,7398752256.0
MeanIstd,0,0.0,0.0,0,56464.0,2.0,1176.375,0.0,6272.0,0.0,2.0,0,6274.0,0,0,504832,200768.0,705600.0,4823040.0
BatchNorm,0,0.0,0.0,0,75264.0,0.0,1568.0,0.0,6276.0,0.0,6272.0,0,12548.0,0,0,1006080,401536.0,1407616.0,6422528.0
ReLU,0,0.0,0.0,0,9408.0,392.0,392.0,0.0,6272.0,0.0,3136.0,0,9408.0,0,0,102400,301056.0,403456.0,1605632.0
Convolution,3211264.0,200704.0,777728.0,25088.0,0,0,0,512.0,50176.0,0.0,25088.0,4.0,75780.0,6483968,2352.0,0,0,6486320.0,3288334336.0
MeanIstd,0,0.0,0.0,0,225856.0,8.0,4705.5,0.0,25088.0,0.0,8.0,0,25096.0,0,0,2019328,803072.0,2822400.0,19292160.0
BatchNorm,0,0.0,0.0,0,301056.0,0.0,6272.0,0.0,25104.0,0.0,25088.0,0,50192.0,0,0,4024320,1606144.0,5630464.0,25690112.0
ElemAdd,0,0.0,0.0,0,75264.0,0.0,1568.0,0.0,50176.0,0.0,25088.0,0,75264.0,0,0,409600,2408448.0,2818048.0,6422528.0
ReLU,0,0.0,0.0,0,37632.0,1568.0,1568.0,0.0,25088.0,0.0,12544.0,0,37632.0,0,0,409600,1204224.0,1613824.0,6422528.0
Convolution,3211264.0,200704.0,796544.0,6272.0,0,0,0,512.0,200704.0,0.0,6272.0,1.0,207489.0,6610688,6235486.0,0,0,12846174.0,3288334336.0
MeanIstd,0,0.0,0.0,0,56464.0,2.0,1176.375,0.0,6272.0,0.0,2.0,0,6274.0,0,0,504832,200768.0,705600.0,4823040.0
BatchNorm,0,0.0,0.0,0,75264.0,0.0,1568.0,0.0,6276.0,0.0,6272.0,0,12548.0,0,0,1006080,401536.0,1407616.0,6422528.0
ReLU,0,0.0,0.0,0,9408.0,392.0,392.0,0.0,6272.0,0.0,3136.0,0,9408.0,0,0,102400,301056.0,403456.0,1605632.0
Convolution,7225344.0,451584.0,2364544.0,6272.0,0,0,0,1152.0,82944.0,25088.0,6272.0,1.0,115457.0,14591123,1330.0,0,0,14592453.0,7398752256.0
MeanIstd,0,0.0,0.0,0,56464.0,2.0,1176.375,0.0,6272.0,0.0,2.0,0,6274.0,0,0,504832,200768.0,705600.0,4823040.0
BatchNorm,0,0.0,0.0,0,75264.0,0.0,1568.0,0.0,6276.0,0.0,6272.0,0,12548.0,0,0,1006080,401536.0,1407616.0,6422528.0
ReLU,0,0.0,0.0,0,9408.0,392.0,392.0,0.0,6272.0,0.0,3136.0,0,9408.0,0,0,102400,301056.0,403456.0,1605632.0
Convolution,3211264.0,200704.0,777728.0,25088.0,0,0,0,512.0,50176.0,0.0,25088.0,4.0,75780.0,6483968,2352.0,0,0,6486320.0,3288334336.0
MeanIstd,0,0.0,0.0,0,225856.0,8.0,4705.5,0.0,25088.0,0.0,8.0,0,25096.0,0,0,2019328,803072.0,2822400.0,19292160.0
BatchNorm,0,0.0,0.0,0,301056.0,0.0,6272.0,0.0,25104.0,0.0,25088.0,0,50192.0,0,0,4024320,1606144.0,5630464.0,25690112.0
ElemAdd,0,0.0,0.0,0,75264.0,0.0,1568.0,0.0,50176.0,0.0,25088.0,0,75264.0,0,0,409600,2408448.0,2818048.0,6422528.0
